BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
46;15;49.31;51.08;158.74;134.79;584.11;60.9
42;15;39.21;14.84;0.0;11.11;153.4;33.9
38;15;63.86;57.61;187.95;165.06;699.96;94.38
34;15;89.23;54.69;293.84;247.44;788.13;212.78
30;15;99.89;50.79;289.42;255.73;801.9;267.67
26;15;82.44;50.67;267.36;226.4;746.63;206.2
22;15;72.19;46.31;245.39;204.32;674.29;159.18
18;15;108.24;48.13;300.64;270.12;893.75;302.57
14;15;89.87;61.34;324.57;252.38;826.59;86.36
7;15;43.58;26.67;231.42;117.79;462.77;91.41
5;15;49.11;26.23;142.77;117.74;451.52;66.0
94;15;67.99;36.23;141.14;146.23;661.27;267.26
90;17;108.94;36.49;353.25;299.15;851.57;270.72
86;17;99.35;35.51;249.77;233.84;766.02;301.26
82;17;92.74;51.56;302.33;255.53;776.86;171.12
78;17;104.82;49.14;305.78;269.47;895.71;307.0
70;17;79.23;54.59;217.69;196.44;822.21;200.47
66;17;47.04;38.22;140.07;122.46;468.21;43.63
62;17;86.2;65.55;255.6;223.83;912.26;179.5
58;17;85.36;37.39;196.4;191.12;686.7;207.78
54;17;67.35;52.6;194.4;172.03;701.64;123.62
50;17;66.89;53.18;197.13;173.03;689.04;102.05
46;17;64.86;52.02;185.32;164.65;671.43;102.59
42;17;27.63;10.44;0.0;6.04;112.03;32.06
38;17;88.43;56.79;228.67;211.56;869.82;215.53
34;17;98.56;48.81;293.85;256.79;827.46;289.65
30;17;110.36;49.61;303.48;273.77;862.89;325.78
26;17;112.68;46.25;299.64;274.02;887.61;359.72
22;17;109.96;50.35;314.88;279.51;902.4;313.89
18;17;70.11;42.65;244.17;201.58;636.15;127.95
14;17;95.15;58.13;339.61;278.01;890.76;164.47
11;17;62.09;20.2;150.73;156.06;566.53;269.05
9;17;58.75;8.43;164.54;108.87;367.19;195.06
7;17;55.95;27.39;278.38;147.1;590.55;195.49
5;17;62.16;30.42;198.06;164.31;629.95;138.06
94;17;96.04;33.41;185.11;212.05;899.77;514.06
94;19;119.98;30.78;269.48;491.98;758.94;147.89
