X;Draft;Area
283.80;15.0;638.39
283.80;15.5;665.19
283.80;16.0;692.00
283.80;16.5;718.83
283.80;17.0;745.65
283.80;17.5;772.47
283.80;18.0;799.29
283.80;18.5;826.12
283.80;19.0;852.94
283.80;19.5;879.76
283.80;20.0;906.59
283.80;20.5;933.41
283.80;21.0;960.23
283.80;21.5;987.06
283.80;22.0;1013.88
283.80;22.5;1040.70
283.80;23.0;1067.52
283.80;23.5;1094.35
302.72;0.0;0.12
302.72;0.25;2.39
302.72;0.5;5.42
302.72;0.75;8.94
302.72;1.0;12.88
302.72;1.5;21.74
302.72;2.0;31.73
302.72;2.5;42.66
302.72;3.0;54.45
302.72;3.5;67.04
302.72;4.0;80.38
302.72;4.5;94.44
302.72;5.0;109.20
302.72;5.5;124.65
302.72;6.0;140.76
302.72;6.5;157.53
302.72;7.0;174.93
302.72;7.5;192.97
302.72;8.0;211.65
302.72;8.5;230.93
302.72;9.0;250.81
302.72;9.5;271.29
302.72;10.0;292.33
302.72;10.5;313.93
302.72;11.0;336.06
302.72;11.5;358.70
302.72;12.0;381.81
302.72;12.5;405.38
302.72;13.0;429.38
302.72;13.5;453.76
302.72;14.0;478.52
302.72;14.5;503.61
302.72;15.0;529.00
302.72;15.5;554.68
302.72;16.0;580.59
302.72;16.5;606.73
302.72;17.0;633.05
302.72;17.5;659.53
302.72;18.0;686.13
302.72;18.5;712.84
302.72;19.0;739.61
302.72;19.5;766.42
302.72;20.0;793.24
302.72;20.5;820.06
302.72;21.0;846.88
